PUF_ID,HEALTH,SWB_1,SWB_2,SWB_3,FWBscore,FWB1_1,FWB1_2,FWB1_4,FWB2_2,FSscore,ACT1_2,FINGOALS,CHANGEABLE,GOALCONF,EARNERS,VOLATILITY,SNAP,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_4,MATHARDSHIP_5,BENEFITS_1,CONNECT,DISTRESS,SELFCONTROL_2,SELFCONTROL_3,OUTLOOK_2,PEM,HOUSESAT,LIFEEXPECT,HHEDUC,PPINCIMP,PPREG4,PPREG9,fpl,agecat,generation,PPGENDER,PPMARIT,PPETHM
12162,1,6,6,6,39,1,3,2,1,28,2,0,2,2,2,1,0,1,1,1,2,1,22,5,3,3,4,3,3,99,5,8,3,5,3,2,4,2,5,1
7854,0,4,4,7,56,3,3,4,5,50,4,0,2,4,1,1,0,1,1,1,1,1,50,4,3,4,4,5,4,65,4,6,2,3,3,3,3,1,3,1
11080,0,6,7,7,38,1,2,3,1,43,5,0,4,4,2,2,0,2,2,1,2,1,100,1,3,3,3,6,3,100,3,2,3,5,2,5,2,1,1,2
10757,0,6,6,5,77,4,4,5,5,57,4,1,1,4,2,1,0,1,1,1,1,1,100,2,3,3,3,3,4,50,4,9,4,9,3,6,2,1,1,1
10758,0,7,7,7,57,4,5,5,5,76,4,1,4,4,2,1,0,1,1,1,1,1,80,1,4,4,5,7,4,100,5,8,3,5,3,4,3,1,1,1
10128,0,7,7,4,71,5,5,4,4,61,4,0,2,4,1,1,0,1,1,1,1,1,50,1,2,2,3,6,4,95,5,9,4,9,3,6,2,2,1,1
12639,0,7,7,-1,76,3,4,4,5,70,5,1,4,4,2,2,0,1,1,1,1,1,100,2,4,4,5,7,3,90,5,3,3,5,3,1,4,2,4,1
14399,1,5,5,6,52,2,3,3,2,60,4,1,4,3,1,1,0,1,1,1,2,0,95,4,3,3,2,6,3,94,4,7,3,6,3,6,2,2,3,3
10352,1,5,5,5,51,2,2,3,4,39,2,1,3,3,3,1,0,1,1,1,1,1,50,4,2,3,4,5,2,70,4,3,3,5,2,2,4,2,4,1
12163,1,4,4,7,30,3,1,2,2,61,3,1,4,3,1,1,0,2,1,1,2,0,80,5,3,2,3,3,3,65,4,5,1,2,3,4,3,1,1,1
10353,0,4,5,5,60,2,3,3,5,40,3,1,4,3,3,2,0,1,1,1,1,1,60,2,3,2,3,5,3,95,3,4,2,3,3,2,4,1,4,1
12676,0,5,4,5,34,1,3,3,3,60,3,0,6,3,1,2,0,1,1,2,2,0,95,4,2,3,2,7,4,100,3,2,4,8,2,6,2,1,3,1
8305,1,6,6,7,76,5,5,5,4,55,5,0,5,4,1,1,0,1,1,1,1,1,100,2,3,3,4,5,4,-2,5,8,2,3,3,8,1,1,1,1
9182,1,6,-1,-1,50,3,3,4,4,43,3,1,2,3,2,1,0,1,1,1,1,1,100,3,2,2,4,5,3,50,3,4,4,9,3,6,2,2,1,1
8946,1,5,6,6,47,2,2,3,3,43,4,0,3,3,2,2,1,1,1,1,1,1,72,4,2,2,5,6,3,100,3,6,4,8,3,4,2,2,1,1
14079,1,4,5,6,37,1,1,2,2,27,3,1,2,2,1,1,0,2,3,1,1,1,35,4,2,2,4,5,3,15,4,3,4,9,1,2,4,1,3,4
13243,1,6,6,5,71,4,4,4,5,64,4,1,2,4,2,1,0,1,1,1,1,1,90,2,3,4,5,6,4,100,4,8,2,4,3,5,2,1,3,1
9183,0,4,7,7,47,2,2,3,2,49,4,1,2,3,3,2,0,1,1,3,2,1,80,4,3,3,4,6,3,85,3,6,2,3,3,2,4,1,4,4
12560,1,5,5,4,43,3,3,3,2,55,3,1,2,2,3,2,8,2,2,1,2,1,80,4,2,3,4,6,3,100,5,9,4,9,3,4,2,2,1,4
